NAMESPACE                             NAME                                                            READY   STATUS    RESTARTS        AGE
vertc-doc-classific-stg               vertc-doc-classific-stg-kafka-7bdff54984-7wp6g                  1/1     Running   0               5h20m
vertc-doc-classific-stg               vertc-doc-classific-stg-worker-7cfcc697dd-47ntv                 1/1     Running   0               5h20m
vertc-gestao-hml                      vertc-gestao-hml-back-64ff97d54b-b76dz                          1/1     Running   0               7d5h
vertc-gestao-qa                       vertc-gestao-qa-back-787468b76f-j5bfb                           1/1     Running   0               110m
vertc-gestao-stg                      vertc-gestao-stg-back-58876dbcfb-7n7r2                          1/1     Running   0               22h
vertc-issue-hml                       vertc-issue-hml-back-b8476bddc-wvv6g                            1/1     Running   0               3h13m
vertc-issue-hml                       vertc-issue-hml-front-578698797d-p99kf                          1/1     Running   0               8d
vertc-lastros-stg                     vertc-lastros-front-stg-front-55b5df58b5-pl8hn                  1/1     Running   0               23h
vertc-lastros-stg                     vertc-lastros-stg-back-c46d55b79-zgj4w                          1/1     Running   0               2d6h
vertc-lastros-stg                     vertc-lastros-stg-kafka-6c657b6f68-2ddv5                        1/1     Running   0               2d6h
vertc-lastros-stg                     vertc-lastros-stg-worker-755cb994c6-d9nht                       1/1     Running   0               2d6h
vertc-lastros-sync-arquivos-stg       vertc-lastros-sync-arquivos-stg-back-65d669c55-n2c4w            1/1     Running   0               25h
vertc-monorepo-gestao-ri-gestao-hml   vertc-monorepo-gestao-ri-gestao-hml-back-86694bff94-2q4zm       1/1     Running   0               7d5h
vertc-monorepo-gestao-ri-gestao-qa    vertc-monorepo-gestao-ri-gestao-qa-back-5cdb868847-zhwk4        1/1     Running   0               24h
vertc-monorepo-gestao-ri-gestao-stg   vertc-monorepo-gestao-ri-gestao-stg-back-65cdbd6755-hx6bt       1/1     Running   0               7m18s
vertc-monorepo-gestao-ri-ri-hml       vertc-monorepo-gestao-ri-ri-hml-back-54d48774b9-99sgw           1/1     Running   0               8d
vertc-monorepo-gestao-ri-ri-qa        vertc-monorepo-gestao-ri-ri-qa-back-5d599fdb7d-5f8mz            1/1     Running   0               24h
vertc-monorepo-gestao-ri-ri-stg       vertc-monorepo-gestao-ri-ri-stg-back-7b5df4846d-vtvbx           1/1     Running   0               7m17s
vertc-obrigacoes-hml                  vertc-obrigacoes-hml-back-57f4cb84d4-k8vb9                      1/1     Running   0               8d
vertc-obrigacoes-hml                  vertc-obrigacoes-hml-front-785c4f9b76-lf5tz                     1/1     Running   0               8d
vertc-obrigacoes-hml                  vertc-obrigacoes-hml-kafka-8f8cb84c9-jvscw                      1/1     Running   0               8d
vertc-obrigacoes-hml                  vertc-ofiscais-hml-worker-create-f7949944f-d9d82                1/1     Running   1 (3d22h ago)   8d
vertc-obrigacoes-hml                  vertc-ofiscais-hml-worker-default-6dd87f445f-wjv6g              1/1     Running   0               8d
vertc-obrigacoes-hml                  vertc-ofiscais-hml-worker-delete-8c7957d7b-qmgt8                1/1     Running   1 (3d20h ago)   8d
vertc-obrigacoes-hml                  vertc-ofiscais-stg-worker-update-867d54d7c4-7wx9n               1/1     Running   1 (3d20h ago)   7d5h
vertc-obrigacoes-stg                  vertc-ofiscais-stg-back-9f7f77dfb-h6lgq                         1/1     Running   0               8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-front-64b57488c9-2rx8l                       1/1     Running   0               8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-front-64b57488c9-b8tts                       1/1     Running   0               8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-front-64b57488c9-mh6d6                       1/1     Running   0               8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-kafka-645bdf77fd-4t4kz                       1/1     Running   0               8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-worker-create-66d679d478-55ngd               1/1     Running   1 (3d19h ago)   8d
vertc-obrigacoes-stg                  vertc-ofiscais-stg-worker-default-74c787ccb8-nv5qg              1/1     Running   0               7d3h
vertc-obrigacoes-stg                  vertc-ofiscais-stg-worker-delete-5b864c5547-4z72v               1/1     Running   1 (3d18h ago)   7d3h
vertc-obrigacoes-stg                  vertc-ofiscais-stg-worker-update-6f5c6488c6-chzg8               1/1     Running   0               23h
vertc-ops-d1                          vertc-ops-d1-back-5f8d6b88cd-9cs8p                              1/1     Running   0               8d
